HCH_012_226_000000	海瑞，字汝賢，瓊山人。
HCH_012_226_000366	臣竊憂之。
HCH_012_226_000367	願少霽威嚴，慎用鞭撲，而左右之人心收矣。
HCH_012_226_000368	祖宗以來，有一日三朝者，有一日一朝者。
HCH_012_226_000369	陛下不視朝久，人心懈弛已極，奸邪窺伺已深，守衛官軍祇應故事。
HCH_012_226_000370	今乾清修造，逼近御前，軍夫往來，誰識面貌？
HCH_012_226_000371	萬一不測，何以應之？
HCH_012_226_000372	臣望發宮鑰於質明，放軍夫於日昃。
HCH_012_226_000373	自非軍國急務，慎無昏夜傳宣。
HCH_012_226_000374	章奏不答，先朝未有。
HCH_012_226_000375	至於今日，強半留中。
HCH_012_226_000376	設令有國家大事，邀截實封，揚言於外曰「留中矣」，人知之乎？
HCH_012_226_000377	願自今章疏未及批答者，日於御前發一紙，下會極門，轉付諸司照察，庶君臣雖不面談，而上下猶無欺蔽。
HCH_012_226_000378	臣觀陛下昔時勵精為治，今當春秋鼎盛，曾無夙夜憂勤之意，惟孜孜以患貧為事。
HCH_012_226_000379	不知天下之財，止有此數，君欲富則天下貧，天下貧而君豈獨富？
HCH_012_226_000380	今民生憔悴極矣，乃採辦日增，誅求益廣，斂萬姓之怨於一言，結九重之仇于四海，臣竊痛之。
HCH_012_226_000381	使六合一家，千年如故，即宮中虛無所有，誰忍使陛下獨貧？
HCH_012_226_000382	今禁城之內，不樂有君。
HCH_012_226_000383	天下之民，不樂有生。
HCH_012_226_000384	怨讟愁歎，難堪入聽。
HCH_012_226_000385	陛下聞之，必有食不能咽，寢不能安者矣。
HCH_012_226_000386	臣老且衰，恐不得復見太平，籲天叩地，齋宿七日，敬獻憂危之誠。
HCH_012_226_000387	惟陛下密行臣言，翻然若出聖心警悟者，則人心自悅，天意自回。
HCH_012_226_000388	苟不然者，陛下他日雖悔，將何及耶！
HCH_012_226_000389	疏入，不報。
HCH_012_226_000390	坤遂稱疾乞休，中旨許之。
HCH_012_226_000391	於是給事中戴士衡劾坤機深志險，謂石星大誤東事，孫鑛濫殺不辜，坤顧不言，曲為附會，無大臣節。
HCH_012_226_000392	給事中劉道亨言往年孫丕揚劾張位，位疑疏出坤手，故使士衡劾坤。
HCH_012_226_000393	位奏辨。
HCH_012_226_000394	帝以坤既罷，悉置不問。
HCH_012_226_000395	初，坤按察山西時，嘗撰《閨範圖說》，內侍購入禁中。
HCH_012_226_000396	鄭貴妃因加十二人，且為制序，屬其伯父承恩重刊之。
HCH_012_226_000397	士衡遂劾坤因承恩進書，結納宮掖，包藏禍心。
HCH_012_226_000398	坤持疏力辨。
HCH_012_226_000399	未幾，有妄人為《閨範圖說》跋，名曰《憂危竑議》，略言：「坤撰《閨範》，獨取漢明德後者，後由貴人進中宮，坤以媚鄭貴妃也。坤疏陳天下憂危，無事不言，獨不及建儲，意自可見。」
HCH_012_226_000400	其言絕狂誕，將以害坤。
HCH_012_226_000401	帝歸罪於士衡等，其事遂寢。
HCH_012_226_000402	坤剛介峭直，留意正學。
HCH_012_226_000403	居家之日，與後進講習。
HCH_012_226_000404	所著述，多出新意。
HCH_012_226_000405	初，在朝與吏部尚書孫丕揚善。
HCH_012_226_000406	後丕揚復為吏部，屢推坤左都御史未得命，言：「臣以八十老臣保坤，冀臣得親見用坤之效。不效，甘坐失舉之罪，死且無憾。」
HCH_012_226_000407	已，又薦天下三大賢，沈鯉、郭正域，其一即坤。
HCH_012_226_000408	丕揚前後推薦，疏至二十餘上，帝終不納。
HCH_012_226_000409	福王封國河南，賜莊田四萬頃。
HCH_012_226_000410	坤在籍，上言：「國初分封親籓二十有四，賜田無至萬頃者。河南已封周、趙、伊、徽、鄭、唐、崇、潞八王，若皆取盈四萬，占兩河郡縣且半，幸聖明裁減。」
HCH_012_226_000411	復移書執政言之。
HCH_012_226_000412	會廷臣亦力爭，得減半。
HCH_012_226_000413	卒，天啟初，贈刑部尚書。
HCH_012_226_000414	郭正域，字美命，江夏人。
HCH_012_226_000415	萬曆十一年進士。
HCH_012_226_000416	選庶起士，授編修，與修撰唐文獻同為皇長子講官。
HCH_012_226_000417	皆三遷至庶子，不離講帷。
HCH_012_226_000418	每講畢，諸內侍出相揖，惟二人不交一言。
HCH_012_226_000419	出為南京祭酒。
HCH_012_226_000420	諸生納貲許充貢，正域奏罷之。
HCH_012_226_000421	李成梁孫以都督就婚魏國徐弘基家，騎過文廟門，學錄李維極執而抶之。
HCH_012_226_000422	李氏蒼頭數十人蹋邸門，弘基亦至。
HCH_012_226_000423	正域曰：「今天子尚皮弁拜先聖，人臣乃走馬廟門外乎？且公侯子弟入學習禮，亦國子生耳，學錄非抶都督也。」
HCH_012_226_000424	令交相謝而罷。
HCH_012_226_000425	三十年，征拜詹事，復為東宮講官。
HCH_012_226_000426	旋擢禮部右侍郎，掌翰林院。
HCH_012_226_000427	三十一年三月，尚書馮琦卒，正域還署部事。
HCH_012_226_000428	夏，廟饗，會日食，正域言：「《禮》，當祭日食，牲未殺，則廢。朔旦宜專救日，詰朝享廟。」
HCH_012_226_000429	從之。
HCH_012_226_000430	方澤陪祀者多托疾。
HCH_012_226_000431	正域謂祀事不虔，由上不躬祀所致。
HCH_012_226_000432	請下詔飭厲，冬至大祀，上必親行。
HCH_012_226_000433	帝然之，而不能用。
HCH_012_226_000434	初，正域之入館也，沈一貫為教習師。
HCH_012_226_000435	後服闋授編修，不執弟子禮，一貫不能無望。
HCH_012_226_000436	至是，一貫為首輔，沈鯉次之。
HCH_012_226_000437	正域與鯉善，而心薄一貫。
HCH_012_226_000438	會台官上日食占，曰：「日從上食，占為君知佞人用之，以亡其國。」
HCH_012_226_000439	一貫怒而詈之，正域曰：「宰相憂盛危明，顧不若瞽史邪？」
HCH_012_226_000440	一貫聞之怒。
HCH_012_226_000441	兩淮稅監魯保請給關防，兼督江南、浙江織造，鯉持不可，一貫擬予之，正域亦力爭。
HCH_012_226_000442	秦王以嫡子夭未生，請封其庶長子為世子，屢詔趣議。
HCH_012_226_000443	前尚書馮琦持不上，正域亦執不許。
HCH_012_226_000444	王復請封其他子為郡王，又不可。
HCH_012_226_000445	一貫使大璫以上命脅之，正域榜於門曰：「秦王以中尉進封，庶子當仍中尉，不得為郡王。妃年未五十，庶子亦不得為世子。」
HCH_012_226_000446	一貫無以難。
HCH_012_226_000447	及建議欲奪黃光升、許論、呂本諡，一貫與硃賡皆本同鄉也，曰：「我輩在，誰敢奪者！」
HCH_012_226_000448	正域援筆判曰：「黃光升當諡，是海瑞當殺也。許論當諡，是沈煉當殺也。呂本當諡，是鄢懋卿、趙文華皆名臣，不當削奪也。」
HCH_012_226_000449	議上，舉朝韙之，而卒不行。
HCH_012_226_000450	正域既積忤一貫，一貫深憾之。
HCH_012_226_000451	會楚王華奎與宗人華勣等相訐，正域復與一貫異議，由此幾得危禍。
HCH_012_226_000452	先是，楚恭王得廢疾，隆慶五年薨，遺腹宮人胡氏孿生子華奎、華壁。
HCH_012_226_000453	或云內官郭綸以王妃兄王如言妾尤金梅子為華奎，妃族人如糸孛奴王玉子為華壁。
HCH_012_226_000454	儀賓汪若泉嘗訐奏之，事下撫按。
HCH_012_226_000455	王妃持甚堅，得寢。
HCH_012_226_000456	萬曆八年，華奎嗣王，華壁亦封宣化王。
HCH_012_226_000457	宗人華勣者，素強禦忤王。
HCH_012_226_000458	華勣妻，如言女也。
HCH_012_226_000459	是年遣人訐華奎異姓子也，不當立。
HCH_012_226_000460	一貫屬通政使沈子木格其疏勿上。
HCH_012_226_000461	月餘楚王劾華勣疏至，乃上之。
HCH_012_226_000462	命下部議。
HCH_012_226_000463	未幾，華勣入都訴通政司邀截實封及華奎行賄狀，楚宗與名者，凡二十九人。
HCH_012_226_000464	子木懼，召華勣令更易月日以上。
HCH_012_226_000465	旨並下部。
HCH_012_226_000466	正域請敕撫按公勘，從之。
HCH_012_226_000467	初，一貫屬正域毋言通政司匿疏事。
HCH_012_226_000468	及華勣疏上，正域主行勘。
HCH_012_226_000469	一貫言親王不當勘，但當體訪。
HCH_012_226_000470	正域曰：「事關宗室，台諫當亦言之。」
HCH_012_226_000471	一貫微笑曰：「台諫斷不言也。」
HCH_012_226_000472	及帝從勘議，楚王懼，奉百金為正域壽，且屬毋竟楚事，當酬萬金，正域嚴拒之。
HCH_012_226_000473	已而湖廣巡撫趙可懷、巡按應朝卿勘上，言詳審無左驗，而王氏持之堅，諸郡主縣主則雲「罔知真偽」，乞特遣官再問。
HCH_012_226_000474	詔公卿雜議于西闕門，日晏乃罷。
HCH_012_226_000475	議者三十七人，各具一單，言人人殊。
HCH_012_226_000476	李廷機以左侍郎代正域署部事，正域欲盡錄諸人議，廷機以辭太繁，先撮其要以上。
HCH_012_226_000477	一貫遂嗾給事中楊應文、御史康丕揚劾禮部壅閼群議，不以實聞。
HCH_012_226_000478	正域疏辨，且發子木匿疏、一貫阻勘及楚王饋遺狀。
HCH_012_226_000479	一貫益恚，謂正域遣家人導華勣上疏，議令楚王避位聽勘，私庇華勣。
HCH_012_226_000480	當是時，正域右宗人，大學士沈鯉右正域，尚書趙世卿、謝傑、祭酒黃汝良則右楚王。
HCH_012_226_000481	給事中錢夢皋遂希一貫指論正域，詞連次輔鯉。
HCH_012_226_000482	應文又言正域父懋嘗笞辱于楚恭王，故正域因事陷之。
HCH_012_226_000483	正域疏辨，留中不報。
HCH_012_226_000484	一貫、鯉以楚事皆求去，廷機復請再問。
HCH_012_226_000485	帝以王嗣位二十餘年，何至今始發，且夫訐妻證，不足憑，遂罷楚事勿按。
HCH_012_226_000486	正域四疏乞休去。
HCH_012_226_000487	楚王既得安，遂奏劾正域，大略如應文言；且訐其不法數事，請褫正域官。
HCH_012_226_000488	詔下部院集議。
HCH_012_226_000489	廷機微刺正域，而謂其已去，可無苛求。
HCH_012_226_000490	給事中張問達則謂籓王欲進退大臣，不可訓，乃不罪正域，而令巡按御史勘王所訐以聞。
HCH_012_226_000491	俄而妖書事起。
HCH_012_226_000492	一貫以鯉與己地相逼，而正域新罷，因是陷之，則兩人必得重禍，乃為帝言臣下有欲相傾者為之。
HCH_012_226_000493	蓋微引其端，以動帝意。
HCH_012_226_000494	亡何，錦衣衛都督王之禎等四人以妖書有名，指其同官周嘉慶為之。
HCH_012_226_000495	東廠又捕獲妖人皦生光。
HCH_012_226_000496	巡城御史康丕揚為生光訟冤，言妖書、楚事同一根柢，請少緩其獄，賊兄弟可授首闕下。
HCH_012_226_000497	意指正域及其兄國子監丞正位。
HCH_012_226_000498	帝怒，以為庇反賊，除其名。
HCH_012_226_000499	一貫力救始免。
HCH_012_226_000500	丕揚乃先後捕僧人達觀、醫者沈令譽等，而同知胡化則告妖書出教官阮明卿手。
HCH_012_226_000501	未幾，廠衛又捕可疑者一人曰毛尚文。
HCH_012_226_000502	數日間鋃鐺旁午，都城人人自危。
HCH_012_226_000503	嘉慶等皆下詔獄。
HCH_012_226_000504	嘉慶旋以治無驗，令革任回籍。
HCH_012_226_000505	令譽故嘗往來正域家，達觀亦時時游貴人門，嘗為正域所搒逐，尚文則正域僕也。
HCH_012_226_000506	一貫、丕揚等欲自數人口引正域，而化所訐阮明卿，則錢夢皋婿。
HCH_012_226_000507	夢皋大恚，上疏顯攻正域，言：「妖書刊播，不先不後，適在楚王疏入之時。蓋正域乃沈鯉門徒，而沈令譽者，正域食客，胡化又其同鄉同年，群奸結為死黨。乞窮治根本，定正域亂楚首惡之罪，勒鯉閑住。」
HCH_012_226_000508	帝令正域還籍聽勘，急嚴訊諸所捕者。
HCH_012_226_000509	達觀拷死，令譽亦幾死，皆不承。
HCH_012_226_000510	法司迫化引正域及歸德。
HCH_012_226_000511	歸德，鯉所居縣也。
HCH_012_226_000512	化大呼曰：「明卿，我仇也，故訐之。正域舉進士二十年不通問，何由同作妖書？我亦不知誰為歸德者。」
HCH_012_226_000513	帝知化枉，釋之。
HCH_012_226_000514	都督陳汝忠掠訊尚文，遂發卒圍正域舟於楊村，盡捕媼婢及傭書者男女十五人，與生光雜治，終無所得。
HCH_012_226_000515	汝忠以錦衣告身誘尚文曰：「能告賊，即得之。」
HCH_012_226_000516	令引令譽，且以乳媼龔氏十歲女為徵。
HCH_012_226_000517	比會訊，東廠太監陳矩詰女曰：「汝見妖書版有幾？」
HCH_012_226_000518	曰：「盈屋。」
HCH_012_226_000519	矩笑曰：「妖書僅二三紙，版顧盈屋邪？」
HCH_012_226_000520	詰尚文曰：「令譽語汝刊書何日？」
HCH_012_226_000521	尚文曰：「十一月十六日。」
HCH_012_226_000522	戎政尚書王世揚曰；「妖書以初十日獲，而十六日又刊，將有兩妖書邪？」
HCH_012_226_000523	拷生光妻妾及十歲兒，以針刺指爪，必欲引正域，皆不應。
HCH_012_226_000524	生光仰視夢皋、丕揚，大罵曰：「死則死耳，奈何教我迎相公指，妄引郭侍郎乎？」
HCH_012_226_000525	都御史溫純等力持之，事漸解，然猶不能具獄。
HCH_012_226_000526	光宗在東宮，數語近侍曰：「何為欲殺我好講官？」
HCH_012_226_000527	諸人聞之皆懼。
HCH_012_226_000528	詹事唐文獻偕其僚楊道賓等詣一貫爭之，李廷機亦力為之地，獄益解。
HCH_012_226_000529	刑部尚書蕭大亨具爰書，猶欲坐正域。
HCH_012_226_000530	郎中王述古抵稿于地，大亨乃止。
HCH_012_226_000531	遂坐生光極刑，釋諸波及者，而正域獲免。
HCH_012_226_000532	方獄急時，邏卒圍鯉舍及正域舟，鈴柝達旦。
HCH_012_226_000533	又聲言正域且逮，迫使自裁。
HCH_012_226_000534	正域曰：「大臣有罪，當伏屍都市，安能自屏野外？」
HCH_012_226_000535	既而幸無事，乃歸。
HCH_012_226_000536	歸三年，巡按御史史學遷勘上楚王所訐事，無狀。
HCH_012_226_000537	給事顧士琦因請召還正域，不報。
HCH_012_226_000538	正域博通載籍，勇於任事，有經濟大略，自守介然，故人望歸之。
HCH_012_226_000539	扼于權相，遂不復起，家居十年卒。
HCH_012_226_000540	後四年，贈禮部尚書。
HCH_012_226_000541	光宗遺詔，加恩舊學，贈太子少保，諡文毅，官其子中書舍人。
HCH_012_226_000542	贊曰：海瑞秉剛勁之性，戇直自遂，蓋可希風漢汲黯、宋包拯。
HCH_012_226_000543	苦節自厲，誠為人所難能。
HCH_012_226_000544	丘橓、呂坤，雖非瑞匹，而指陳時政，炳炳鑿鑿，鯁亮有足稱者。
HCH_012_226_000545	郭正域持楚獄，與執政異趣，險難忽發，慬而後免，危矣哉！
HCH_012_226_000546	以妖書事與坤相首尾，故並著焉。
