HCH_012_241_000000	周嘉謨張問達汪應蛟王紀孫瑋鐘羽正陳道亨周嘉謨，字明卿，漢川人。
HCH_012_241_000324	明年七月稽首文華門，出郭候命。
HCH_012_241_000325	至十月，始予告歸。
HCH_012_241_000326	天啟改元，起南京吏部尚書，改兵部，參贊機務。
HCH_012_241_000327	三年，召拜刑部尚書。
HCH_012_241_000328	囚系眾，獄舍至不能容，瑋請近畿者就州縣分系。
HCH_012_241_000329	內使王文進殺人，下司禮議罪，其餘黨付法司。
HCH_012_241_000330	瑋言一獄不可分兩地，請並文進下吏，不聽。
HCH_012_241_000331	其冬，以吏部尚書再掌左都御史事，累以老疾辭，不允。
HCH_012_241_000332	明年秋，疾篤，上疏曰：「今者天災叠見，民不聊生。內而城社可憂，外而牖戶未固。法紀淩遲，人心瓦解。陛下欲圖治平，莫如固結人心；欲固結人心，莫如登用善類。舊輔臣劉一燝，憲臣鄒元標，尚書周嘉謨、王紀、孫慎行、盛以弘、鐘羽正等，侍郎曹於汴，詞臣文震孟，科臣侯震旸，臺臣江秉謙，寺臣滿朝薦，部臣徐大相，並老成蹇諤，跧伏草野，良可嘆惜。倘蒙簡擢，必能昭德塞違，為陛下收拾人心。尤望寡欲以保聖躬，勤學以進主德，優容以廣言路，明斷以攬大權。臣遘疾危篤，報主無期，敢竭微忱，用當屍諫。」
HCH_012_241_000333	遂卒，贈太子太保。
HCH_012_241_000334	魏忠賢用事，陜西巡撫喬應甲劾瑋素黨李三才、趙南星，不當叨冒恩恤。
HCH_012_241_000335	詔追誥命，奪其蔭。
HCH_012_241_000336	崇禎初，復之。
HCH_012_241_000337	後謚莊毅。
HCH_012_241_000338	鐘羽正，字叔濂，益都人。
HCH_012_241_000339	萬歷八年進士。
HCH_012_241_000340	除滑縣知縣。
HCH_012_241_000341	甫弱冠，多惠政，征授禮科給事中。
HCH_012_241_000342	疏言朝講不宜輟，張鯨不宜赦，不報。
HCH_012_241_000343	遷工科左給事中，出視宣府邊務。
HCH_012_241_000344	哈剌慎詟老把都諸部挾增市賞二十七萬有奇，羽正建議裁之。
HCH_012_241_000345	與參政王象乾詟以利害，莫敢動。
HCH_012_241_000346	兵部左侍郎許守謙先撫宣府，以賄聞，羽正劾去之。
HCH_012_241_000347	又劾罷副總兵張充實等，而悉置諸侵盜軍資者於理。
HCH_012_241_000348	還為吏科都給事中。
HCH_012_241_000349	劾禮部侍郎韓世能，薊遼總督蹇達，大理少卿楊四知、洪聲遠不職，四知、聲遠坐貶謫。
HCH_012_241_000350	時當朝覲，請禁饋遺，言：「臣罪莫大於貪。然使內臣貪而外臣不應，外臣貪而內臣不援，則尚相顧畏莫敢肆。今內以外為府藏，外以內為窟穴，交通賂遺，比周為奸，欲仕路清、世運泰，不可得也。」
HCH_012_241_000351	帝善其言，敕所司禁之。
HCH_012_241_000352	且命閣部大臣公事議於朝房，毋私邸接賓客。
HCH_012_241_000353	吏部推孟一脈應天府丞，蔡時鼎江西提學，副以呂興周、馬猶龍。
HCH_012_241_000354	帝惡一脈、時鼎嘗建言，皆用副者。
HCH_012_241_000355	羽正率同列上言：「陛下不用一脈、時鼎，中外謂建白之臣，不惟一時見斥，而且復進無階，銷忠直之氣，結諫諍之舌，非國家福。」
HCH_012_241_000356	疏入，忤旨，奪俸有差。
HCH_012_241_000357	二十年正月，偕同官李獻可等請皇長子出閣豫教。
HCH_012_241_000358	帝怒，謫獻可官。
HCH_012_241_000359	羽正以己實主議，請與同謫，竟斥為民。
HCH_012_241_000360	杜門讀書，士大夫往來其地，率辭不見。
HCH_012_241_000361	林居幾三十年。
HCH_012_241_000362	光宗立，起太僕少卿。
HCH_012_241_000363	未至，進本寺卿。
HCH_012_241_000364	天啟二年，吏部將用為左副都御史，羽正辭曰：「馮公從吾僉院已久，吾後入先之，是長競也。西臺何地，可以是風有位乎？」
HCH_012_241_000365	乃受僉都御史而讓從吾為副。
HCH_012_241_000366	甫入署，即言：「方從哲進藥議謚，封後移宮，無謀鮮斷，似佞似欺，宜免其官秩，使為法受過。沈纮結內援，招權賄，宜遄決其去。」
HCH_012_241_000367	群小多不悅。
HCH_012_241_000368	熊廷弼、王化貞之獄，眾議紛呶。
HCH_012_241_000369	羽正言：「向者開原、鐵嶺之罪不明，致失遼陽；遼陽之罪不明，致失廣寧。朝廷疆土，堪幾番敗壞！」
HCH_012_241_000370	由是二人皆坐大辟。
HCH_012_241_000371	會朱童蒙以講學擊鄒元標及從吾，羽正言書院之設，實為京師首善勸，不當議禁，因自劾乞休。
HCH_012_241_000372	頃之，代從吾為左副都御史，俄改戶部右侍郎，督倉場。
HCH_012_241_000373	明年春，拜工部尚書。
HCH_012_241_000374	故事，奄人冬衣隔歲一給。
HCH_012_241_000375	是夏六月，群奄千餘人請預給，蜂擁入署，碎公座，毆掾吏，肆罵而去。
HCH_012_241_000376	蓋忌羽正者嗾奄使發難也。
HCH_012_241_000377	羽正疏聞，因求罷。
HCH_012_241_000378	詔司禮太監杖謫群奄，而諭羽正出視事。
HCH_012_241_000379	羽正求去益堅，因言：「今帑藏殫虛，九邊壯士日夜荷戈寢甲，弗獲一飽；慶陵工卒負重乘高，暴炎風赤日中，求傭錢不得；而獨內官請乞，朝至夕從。此輩聞之，其誰不含憤？臣奉職不稱，義當罷黜。」
HCH_012_241_000380	復三疏自引歸。
HCH_012_241_000381	逾年，逆黨霍維華追理三案，言羽正委身門戶，遂削奪。
HCH_012_241_000382	崇禎初，復官。
HCH_012_241_000383	久之，卒。
HCH_012_241_000384	贈太子太保。
HCH_012_241_000385	陳道亨，字孟起，新建人。
HCH_012_241_000386	萬歷十四年進士。
HCH_012_241_000387	除刑部主事，歷南京吏部郎中。
HCH_012_241_000388	同里鄧以贊、衷貞吉亦官南都，人號「江右三清」。
HCH_012_241_000389	遭母喪，家毀於火，僦屋以居。
HCH_012_241_000390	窮冬無幃，妻禦葛裳，與子拾遺薪爇以禦寒，或有贈遺，拒弗受。
HCH_012_241_000391	由湖廣參政遷山東按察使、右布政使，轉福建為左，所至不私一錢。
HCH_012_241_000392	以右副都御史提督操江。
HCH_012_241_000393	光宗立，進工部右侍郎，總督河道。
HCH_012_241_000394	天啟二年，妖賊徐鴻儒作亂。
HCH_012_241_000395	道亨守濟寧，扼諸要害，以衛漕舟。
HCH_012_241_000396	事平，增俸賜銀幣。
HCH_012_241_000397	尋拜南京兵部尚書，參贊機務。
HCH_012_241_000398	楊漣等群擊魏忠賢，被譙責。
HCH_012_241_000399	道亨憤，偕九卿上言：「高皇帝定令，內臣止供掃除，不得典兵預政。陛下徒念忠賢微勞，舉魁柄授之，恣所欲為，舉朝忠諫皆不納。何重視宦豎輕天下士大夫至此？」
HCH_012_241_000400	疏入，不納。
HCH_012_241_000401	道亨遂連疏求去，詔許乘傳歸。
HCH_012_241_000402	逾年卒。
HCH_012_241_000403	道亨貞亮有守。
HCH_012_241_000404	自參政至尚書，不以家累自隨，一蒼頭執爨而已。
HCH_012_241_000405	崇禎初，贈太子少保，謚清襄。
HCH_012_241_000406	子弘緒，字士業。
HCH_012_241_000407	為晉州知州，以文名。
HCH_012_241_000408	贊曰：光、熹之際，朝廷多故，又承神宗頹廢之余，政體怠弛，六曹罔修厥職。
HCH_012_241_000409	周嘉謨、張問達諸人，懇懇奉公，《詩》所稱「不懈於位」者，蓋庶幾焉。
HCH_012_241_000410	汪應蛟持國計，謹出納，水田之議，鑿鑿可見施行。
HCH_012_241_000411	孫瑋請登用善類，鐘羽正請禁饋遺，韙哉，救時之良規也。
