HCH_009_002_000000	太祖應乾興運昭德定功仁明莊孝大聖武元皇帝，諱旻，本諱阿骨打，世祖第二子也。
HCH_009_002_000333	自旦及巳，闍母以麾下先登，克其外城，留守撻不野以城降。
HCH_009_002_000334	趙良嗣等奉觴爲壽，皆稱萬歲。
HCH_009_002_000335	是日，赦上京官民。
HCH_009_002_000336	詔諭遼副統餘睹。
HCH_009_002_000337	壬戌，次沃黑河。
HCH_009_002_000338	宗幹率群臣諫曰：「地遠時暑，軍馬罷乏，若深入敵境，糧饋乏絕，恐有後艱。」
HCH_009_002_000339	上從之，乃班師，命分兵攻慶州。
HCH_009_002_000340	余睹襲闍母于遼河，完顏背答、烏塔等戰卻之，完顏特虎死焉。
HCH_009_002_000341	七月癸卯，上至自伐遼。
HCH_009_002_000342	九月，燭隈水部實里古達等殺孛堇酬斡、僕忽得以叛。
HCH_009_002_000343	十月戊辰朔，日有食之。
HCH_009_002_000344	戊寅，命斡魯分胡剌古、烏春之兵以討實里古達。
HCH_009_002_000345	十一月，東京留守司乞本京官民質子增數番代，上不許，曰：「諸質子已各受田廬，若復番代，則往來動搖，可並仍舊。」
HCH_009_002_000346	十二月，宋復使馬政來請西京之地。
HCH_009_002_000347	五年春正月，斡魯敗實里古達于合撻剌山，誅首惡四人，餘悉撫定。
HCH_009_002_000348	二月，遣昱及宗雄分諸路猛安謀克之民萬戶屯泰州，以婆盧火統之，賜耕牛五十。
HCH_009_002_000349	四月乙丑朔，宗翰請伐遼，詔諸路預戒軍事。
HCH_009_002_000350	五月，遼都統耶律餘睹等詣鹹州降。
HCH_009_002_000351	閏月辛巳，國論胡魯勃極烈撒改薨。
HCH_009_002_000352	六月癸巳，餘睹與其將吏來見。
HCH_009_002_000353	丙申，千戶胡離答坐擅署部人爲蒲里衍，杖一百，罷之。
HCH_009_002_000354	庚子，詔諳版勃極烈吳乞買貳國政。
HCH_009_002_000355	以昊勃極烈斜也爲忽魯勃極烈，蒲家奴爲昊勃極烈，宗翰爲移賚勃極烈。
HCH_009_002_000356	七月庚辰，詔鹹州都統司曰：「自餘睹來，灼見遼國事宜，已決議親征，其治軍以俟師期。」
HCH_009_002_000357	尋以連雨罷親征。
HCH_009_002_000358	命昊勃極烈昱爲都統，稱賚勃極烈宗翰副之，帥師而西。
HCH_009_002_000359	十二月辛丑，以忽魯勃極烈杲爲內外諸軍都統，以昱、宗翰、宗幹、宗望、宗盤等副之。
HCH_009_002_000360	甲辰，詔曰：「遼政不綱，人神共棄。今欲中外一統，故命汝率大軍以行討伐。爾其慎重兵事，擇用善謀，賞罰必行，糧餉必繼，勿擾降服，勿縱俘掠，見可而進，無淹師期。事有從權，毋須申稟。」
HCH_009_002_000361	戊申，詔曰：「若克中京，所得禮樂儀仗圖書文籍，並先次津發赴闕。」
HCH_009_002_000362	六年正月癸酉，都統杲克高、恩、回紇三城。
HCH_009_002_000363	乙亥，取中京，遂下澤州。
HCH_009_002_000364	二月庚寅朔，日有食之。
HCH_009_002_000365	己亥，宗翰等敗遼奚王霞末于北安州，降。
HCH_009_002_000366	奚部西節度使訛里剌以本部降。
HCH_009_002_000367	壬寅，都統杲遣使來奏捷，並獻所獲貨寶。
HCH_009_002_000368	詔曰：「汝等提兵于外，克副所任，攻下城邑，撫安人民，朕甚嘉之。所言分遣將士招降山前諸部，計悉已撫定，續遣來報。山后若未可往，即營田牧馬，俟及秋成，乃圖大舉。更當熟議，見可則行。如欲益兵，具數來上，不可恃一戰之勝，輒有弛慢。新降附者當善撫存。宣諭將士，使知朕意。」
HCH_009_002_000369	宗翰駐北安，遣希尹等略地，獲遼護衛耶律習泥烈，知遼主獵鴛鴦濼，以其子晉王賢而有人望，惡而殺之，衆益離心。
HCH_009_002_000370	雖有西北、西南兩路兵馬，皆羸弱。
HCH_009_002_000371	遂遣耨碗溫都等報都統杲進兵襲之。
HCH_009_002_000372	三月，都統杲出青嶺，宗翰出瓢嶺，追遼主于鴛鴦濼。
HCH_009_002_000373	遼主奔西京。
HCH_009_002_000374	宗翰復追至白水濼，不及，獲其貨寶。
HCH_009_002_000375	己巳，至西京。
HCH_009_002_000376	壬申，西京降。
HCH_009_002_000377	希尹追遼主于乙室部，不及。
HCH_009_002_000378	乙亥，西京復叛。
HCH_009_002_000379	是月，遼秦晉國王耶律捏里即位于燕。
HCH_009_002_000380	四月辛卯，復取西京。
HCH_009_002_000381	壬辰，遣徒單吳甲、高慶裔如宋。
HCH_009_002_000382	戊戌，都統杲自西京趨白水濼，昊勃極烈昱襲毗室部于鐵呂川，爲敵所敗。
HCH_009_002_000383	還會察剌兵，追至黃水北，大破之。
HCH_009_002_000384	耶律坦招徠西南諸部，西至夏，其招討使耶律佛頂降。
HCH_009_002_000385	金肅、西平二郡漢軍四千餘人叛去，耶律坦等襲取之。
HCH_009_002_000386	闍母、婁室招降天德、雲內、甯邊、東勝等州，獲阿疏而還。
HCH_009_002_000387	是時，山西城邑諸部雖降，人心未固，遼主保陰山，耶律捍里在燕京，都統杲遣宗望入奏，請上臨軍。
HCH_009_002_000388	五月辛酉，宗望來奏捷，百官入賀，賜宴歡甚。
HCH_009_002_000389	先是，獲遼樞密使得里底、節度使和尚、雅里斯、餘里野等，都統杲使阿鄰護送赴闕。
HCH_009_002_000390	得里底道亡，阿鄰坐誅。
HCH_009_002_000391	耶律捍里遣使請罷兵。
HCH_009_002_000392	戊寅，使楊勉以書諭捍里，使之降。
HCH_009_002_000393	謀葛失遣其子菹泥刮失貢方物。
HCH_009_002_000394	六月戊子朔，上親征遼，發自上京。
HCH_009_002_000395	諳班勃極烈吳乞買監國。
HCH_009_002_000396	辛亥，詔諭上京官民曰：「朕順天吊伐，已定三京，但以遼主未獲，兵不能已。今者親征，欲由上京路進，恐撫定新民，驚疑失業，已出自篤密呂。其先降後叛逃入險阻者，詔後出首，悉免其罪。若猶拒命，孥戮無赦。」
HCH_009_002_000397	是月，耶律捍里卒。
HCH_009_002_000398	斡魯、婁室敗夏人于野穀。
HCH_009_002_000399	七月甲子，詔諸將無得遠迎，以廢軍務。
HCH_009_002_000400	乙丑，上京漢人毛八十率二千餘戶降，因命領之。
HCH_009_002_000401	丙寅，以斡荅剌招降者衆，命領八千戶，以忽薛副之。
HCH_009_002_000402	壬午，希尹以阿疏見杖而釋之。
HCH_009_002_000403	八月己丑，次鴛鴦濼。
HCH_009_002_000404	都統杲率官屬來見。
HCH_009_002_000405	癸巳，上追遼主于大魚濼。
HCH_009_002_000406	昱、宗望追及遼主于石輦鐸，與戰，敗之，遼主遁。
HCH_009_002_000407	己亥，次居延北。
HCH_009_002_000408	辛丑，中京將完顏渾黜敗契丹、奚、漢六萬于高州，孛堇麻吉死之。
HCH_009_002_000409	得里得滿部降。
HCH_009_002_000410	昱、宗望追遼主于烏里質鐸，不及。
HCH_009_002_000411	九月庚申，次草濼。
HCH_009_002_000412	闍母平中京部族之先叛者，及招撫沿海郡縣。
HCH_009_002_000413	節度使耶律慎思領諸部入內地。
HCH_009_002_000414	乙丑，詔六部奚曰：「汝等既降復叛，扇誘衆心，罪在不赦。尚以歸附日淺，恐綏懷之道有所未孚，故復令招諭。若能速降，當釋其罪，官皆仍舊。」
HCH_009_002_000415	歸化州降。
HCH_009_002_000416	戊辰，次歸化州。
HCH_009_002_000417	甲戌，宗雄薨。
HCH_009_002_000418	丁丑，奉聖州降。
HCH_009_002_000419	十月丙戌朔，次奉聖州。
HCH_009_002_000420	詔曰；「朕屢敕將臣，安輯懷附，無或侵擾。然愚民無知，尚多逃匿山林，即欲加兵，深所不忍。今其逃散人民，罪無輕重，鹹與矜免。有能率衆歸附者，授之世官。或奴婢先其主降，並釋爲良。其佈告之，使諭朕意。」
HCH_009_002_000421	蔚州降。
HCH_009_002_000422	庚寅，餘睹等遣蔚州降臣翟昭彥、徐興、田慶來見。
HCH_009_002_000423	命昭彥、慶皆爲刺史，興爲團練使。
HCH_009_002_000424	詔曰：「比以幽、薊一方招之不服，今欲帥師以往，故先安撫山西諸部。汝等既已懷服，宜加撫存。官民未附已前，罪無輕重及系官逋負，皆與釋免，諸官各遷敘之。」
HCH_009_002_000425	丁酉，蔚州翟昭產、田慶殺知州事蕭觀寧等以叛。
HCH_009_002_000426	丙午，復降。
HCH_009_002_000427	十一月，詔諭燕京官民，王師所至，降者赦其罪，官皆仍舊。
HCH_009_002_000428	十二月，上伐燕京。
HCH_009_002_000429	宗望率兵七千先之，迪古乃出得勝口，銀朮哥出居庸關，婁室爲左翼，婆盧火爲右翼，取居庸關。
HCH_009_002_000430	丁亥，次媯州。
HCH_009_002_000431	戊子，次居庸關。
HCH_009_002_000432	庚寅，遼統軍都監高六等來送款。
HCH_009_002_000433	上至燕京，入自南門，使銀朮哥、婁室陣于城上，乃次于城南。
HCH_009_002_000434	遼知樞密院左企弓、虞仲文，樞密使曹勇義，副使張彥忠，參知政事康公弼，僉書劉彥宗奉表降。
HCH_009_002_000435	辛卯，遼百官詣軍門叩頭請罪，詔一切釋之。
HCH_009_002_000436	壬辰，上御德勝殿，群臣稱賀。
HCH_009_002_000437	甲午，命左企弓等撫定燕京諸州縣。
HCH_009_002_000438	詔西京官吏曰：「乃者師至燕都，已皆撫定。唯蕭妃與官屬數人遁去，已發兵追襲，或至彼路，可執以來。」
HCH_009_002_000439	黃龍府叛，宗輔討平之。
HCH_009_002_000440	七年正月丁巳，遼奚王回離保僭稱帝。
HCH_009_002_000441	甲子，遼平州節度使時立愛降。
HCH_009_002_000442	詔曲赦平州。
HCH_009_002_000443	又詔諳班勃極烈曰：「比遣昂徙諸部民人于嶺東，而昂悖戾，騷動煩擾，致多怨叛。其違命失衆，當置重典。若或有疑，禁錮以待。」
HCH_009_002_000444	庚午，詔中京都統斡論曰：「聞卿撫定人民，各安其業，朕甚嘉之。回離保聚徒逆命，汝宜計畫，無使滋蔓。」
HCH_009_002_000445	壬申，詔招諭回離保。
HCH_009_002_000446	癸酉，以時立愛言招撫諸部。
HCH_009_002_000447	己卯，宋使來議燕京、西京地。
HCH_009_002_000448	庚辰，宜、錦、乾、顯、成、川、豪、懿等州皆降。
HCH_009_002_000449	甲申，詔曰：「諸州部族歸附日淺，民心未寧。今農事將興，可遣分諭典兵之官，無縱軍士動擾人民，以廢農業。」
HCH_009_002_000450	二月乙酉朔，命撒八詔諭興中府，降之。
HCH_009_002_000451	遼來州節度使田顥、隰州刺史杜師回、遷州刺史高永福、潤州刺史張成皆降。
HCH_009_002_000452	壬辰，詔諳版勃極烈曰：「郡縣今皆撫定，有逃散未降者，已釋其罪，更宜招諭之。前後起遷戶民，去鄉未久，豈無懷土之心？可令所在有司，深加存恤，毋輒有騷動。衣食不足者，官賑貸之。」
HCH_009_002_000453	癸巳，詔曰：「頃因兵事未息，諸路關津絕其往來。今天下一家，若仍禁之，非所以便民也。自今顯、咸、東京等路往來，聽從其便。其間被虜及鬻身者，並許自贖爲良。」
HCH_009_002_000454	仍令馳驛佈告。
HCH_009_002_000455	興中、宜州復叛。
HCH_009_002_000456	宋使趙良嗣來，請加歲幣以代燕稅，及議畫疆與遣使賀正旦生辰、置榷場交易，並計議西京等事。
HCH_009_002_000457	癸卯，銀朮哥、鐸剌如宋。
HCH_009_002_000458	乙巳，詔都統杲曰：「新附之民有材能者，可錄用之。」
HCH_009_002_000459	戊申，詔平州官與宋使同分割所與燕京六州之地。
HCH_009_002_000460	癸丑，大赦。
HCH_009_002_000461	是月，改平州爲南京，以張覺爲留守。
HCH_009_002_000462	三月甲寅朔，將誅昂，以習不失諫，杖之七十，仍拘泰州。
HCH_009_002_000463	戊午，都統杲等言耶律麻哲告余睹、吳十、鐸刺等謀叛，宜早圖之。
HCH_009_002_000464	上召余睹等，從容謂之曰：「朕得天下，皆我君臣同心同德以成大功，固非汝等之力。今聞汝等謀叛，若誠然耶，必須鞍馬甲胄器械之屬，當悉付汝，朕不食言。若再爲我擒，無望免死。欲留事朕，無懷異志，吾不汝疑。」
HCH_009_002_000465	餘睹等皆戰慄不能對。
HCH_009_002_000466	命杖鐸剌七十，餘並釋之。
HCH_009_002_000467	宋使盧益、趙良嗣、馬宏以國書來。
HCH_009_002_000468	四月丁亥，遣斡魯、宗望襲遼主于陰山。
HCH_009_002_000469	壬辰，復書于宋。
HCH_009_002_000470	師初入燕，遼兵復犯奉聖州，林牙大石壁龍門東二十五里。
HCH_009_002_000471	都統斡魯聞之，遣照立、婁室、馬和尚等率兵討之，生獲大石，悉降其衆。
HCH_009_002_000472	癸巳，詔曰：「自今軍事若皆中覆，不無留滯。應此路事務申都統司，餘皆取決樞密院。」
HCH_009_002_000473	契丹九斤取聚黨興中府作亂，擒之，九斤自殺。
HCH_009_002_000474	命習古乃、婆盧火監護長勝軍，及燕京豪族工匠，由松亭關徙之內地。
HCH_009_002_000475	己亥，次儒州。
HCH_009_002_000476	斡魯、宗望等襲遼權六院司喝離質于白水濼，獲之。
HCH_009_002_000477	其宗屬秦王、許王等十五人降。
HCH_009_002_000478	聞遼主留輜重青塚，以兵萬人往應州，遣照里、背荅、宗望、婁室、銀朮哥等追襲之。
HCH_009_002_000479	宗望追及遼主，決戰，大敗之，獲其子趙王習泥烈及傳國璽。
HCH_009_002_000480	五月甲寅，南京留守張覺據城叛。
HCH_009_002_000481	丙寅，次野狐嶺。
HCH_009_002_000482	己巳，次落藜濼。
HCH_009_002_000483	斡魯等以趙王習泥烈、林牙大石、附馬乳奴等來獻，並上所獲國璽。
HCH_009_002_000484	宗雋以所俘遼主子秦王、許王、女奧野等來見。
HCH_009_002_000485	奚路都統撻懶攻速古、啜里、鐵尼所部十三岩，皆平之。
HCH_009_002_000486	又遣奚馬和尚攻下達魯古並五院司諸部，執其節度乙列。
HCH_009_002_000487	回離保爲其下所殺。
HCH_009_002_000488	辛巳，詔諭南京官民。
HCH_009_002_000489	六月壬午朔，次鴛鴦濼。
HCH_009_002_000490	是日，闍母敗張覺于營州。
HCH_009_002_000491	丙申，上不豫，將還上京，命移賚勃極烈宗翰爲都統，昊勃極烈昱、迭勃極烈斡魯副之，駐兵雲中，以備邊。
HCH_009_002_000492	己酉，次斡獨山驛，召諳班勃極烈吳乞買。
HCH_009_002_000493	七月辛酉，次牛山。
HCH_009_002_000494	宗翰還軍中。
HCH_009_002_000495	八月辛巳朔，日有食之。
HCH_009_002_000496	乙未，次渾河北。
HCH_009_002_000497	諳班勃極烈吳乞買率宗室百官上謁。
HCH_009_002_000498	戊申，上崩于部堵濼西行宮，年五十六。
HCH_009_002_000499	九月癸丑，梓宮至上京。
HCH_009_002_000500	乙卯，葬宮城西南，建寧神殿。
HCH_009_002_000501	丙辰，諳班勃極烈即皇帝位。
HCH_009_002_000502	天會三年三月，上尊諡曰武元皇帝，廟號太祖，立原廟于西京。
HCH_009_002_000503	天會十三年二月辛酉，改葬和陵，立《開天啟祚睿德神功之碑》于燕京城南嘗所駐蹕之地。
HCH_009_002_000504	皇統四年，改和陵曰睿陵。
HCH_009_002_000505	五年十月，增諡應乾興運昭德定功睿神莊孝仁明大聖武元皇帝。
HCH_009_002_000506	貞元三年十一月，改葬于大房山，仍號睿陵。
HCH_009_002_000507	贊曰：太祖英謨睿略，豁達大度，知人善任，人樂爲用。
HCH_009_002_000508	世祖陰有取遼之志，是以兄弟相授，傳及康宗，遂及太祖。
HCH_009_002_000509	臨終以太祖屬穆宗，其素志蓋如是也。
HCH_009_002_000510	初定東京，即除去遼法，減省租稅，用本國制度。
HCH_009_002_000511	遼主播越，宋納歲幣，以幽、薊、武、朔等州與宋，而置南京于平州。
HCH_009_002_000512	宋人終不能守燕、代，卒之遼主見獲，宋主被執。
HCH_009_002_000513	雖功成于天會間，而規摹運爲賓自此始。
HCH_009_002_000514	金有天下百十有九年，太祖數年之間算無遺策，兵無留行，底定大業，傳之子孫。
HCH_009_002_000515	鳴呼，雄哉！
