HCH_012_223_000000	盛應期朱衡潘季馴萬恭吳桂芳王宗沐劉東星徐貞明盛應期，字思徵，吳江人。
HCH_012_223_000317	改禮科。
HCH_012_223_000318	礦稅興，疏言：「近日禦題黃纛，遍布關津；聖旨朱牌，委褻蔀屋。遂使三家之村，雞犬悉盡；五都之市，絲粟皆空。且稅以店名，無異北齊之市肆；官從內遣，何啻西苑之斜封！」
HCH_012_223_000319	不報。
HCH_012_223_000320	二十九年，帝將冊立東宮，而故緩其期。
HCH_012_223_000321	士昌偕同官楊天民極諫，謫貴州鎮遠典史。
HCH_012_223_000322	屢遷大理右丞署事，與張問達共定張差獄。
HCH_012_223_000323	旋進右少卿，擢右僉都御史，巡撫福建。
HCH_012_223_000324	歸卒。
HCH_012_223_000325	士性，字恒叔，由確山知縣征授禮科給事中。
HCH_012_223_000326	首陳天下大計，言朝廷要務二，曰親章奏，節財用；官司要務三，曰有司文網，督學科條，王官考核；兵戎要務四，曰中州武備，晉地要害，北寇機宜，遼左戰功。
HCH_012_223_000327	疏凡數千言，深切時弊，多議行。
HCH_012_223_000328	詔制鰲山燈，未幾，慈寧宮火，士性請停前詔，帝納之。
HCH_012_223_000329	楊巍議黜丁此呂，士性劾巍阿輔臣申時行，時行納巍邪媚，皆失大臣誼。
HCH_012_223_000330	寢不行。
HCH_012_223_000331	時行，士性座主也。
HCH_012_223_000332	久之，疏言：「朝廷用人，不宜專取容身緘默，緩急不足恃者。請召還沈思孝、吳中行、艾穆、鄒元標、黃道瞻、蔡時鼎、聞道立、顧憲成、孫如法、姜應麟、馬應圖、王德新、盧洪春、彭遵古、諸壽賢、顧允成等。忤旨，不報。遷吏科給事中，出為四川參議，歷太僕少卿。河南缺巡撫，廷推首王國，士性次之。帝特用士性。士性疏辭，言資望不及國。帝疑其矯，且謂國實使之，遂出國於外，調士性南京。久之，就遷鴻臚卿，卒。劉東星，字子明，沁水人。隆慶二年進士。改庶吉士，授兵科給事中。大學士高拱攝吏部，以非時考察，謫蒲城縣丞。徙盧氏知縣，累遷湖廣左布政使。萬歷二十年，擢右僉都御史，巡撫保定。時朝鮮以倭難告。王師調集，悉會天津，而天津、靜海、滄州、河間皆被災。東星請漕米十萬石平糶，民乃濟。召為左副都御史。進吏部右侍郎，以父老請侍養歸，瀕行而父卒。二十六年，河決單之黃堌，運道堙阻，起工部左侍郎兼右僉都御史，總理河漕。初，尚書潘季馴議開黃河上流，循商、虞而下，歷丁家道口出徐州小浮橋，即元賈魯所浚故道也，朝廷以費巨未果。東星即其地開浚。起曲裏鋪至三仙臺，抵小浮橋。又浚漕渠自徐、邳至宿。計五閱月工竣，費僅十萬。詔嘉其績，進工部尚書兼右副都御史。
HCH_012_223_000333	明年，渠邵伯、界首二湖。
HCH_012_223_000334	又明年，奉開泇河。
HCH_012_223_000335	泇界滕、嶧間，南通淮、海，引漕甚便。
HCH_012_223_000336	前總督翁大立首議開浚，後尚書朱衡、都御史傅希摯復言之。
HCH_012_223_000337	朝廷數遣官行視，乞無成畫。
HCH_012_223_000338	河臣舒應龍嘗鑿韓莊，工亦中輟。
HCH_012_223_000339	東星力任其役。
HCH_012_223_000340	初議費百二十萬，及工起，費止七萬，而渠已成十之三。
HCH_012_223_000341	會有疾，求去。
HCH_012_223_000342	屢旨慰留。
HCH_012_223_000343	卒官。
HCH_012_223_000344	後李化龍循其遺跡，與李三才共成之，漕永便焉。
HCH_012_223_000345	東星性儉約。
HCH_012_223_000346	歷官三十年，敝衣蔬食如一日。
HCH_012_223_000347	天啟初，謚莊靖。
HCH_012_223_000348	胡瓚，字伯玉，桐城人。
HCH_012_223_000349	萬歷二十三年進士。
HCH_012_223_000350	授都水主事。
HCH_012_223_000351	分司南旺司兼督泉閘，駐濟寧。
HCH_012_223_000352	泗水所註，瓚修金口壩遏之。
HCH_012_223_000353	造舟汶上，為橋於寧陽，民不病涉。
HCH_012_223_000354	河決黃堌，瓚憂之。
HCH_012_223_000355	會劉東星來總河漕，瓚與往復論難。
HCH_012_223_000356	謂黃堌不杜，勢且易黃而漕；漕南北七百里，以涓涓之泉，安能運萬千有奇之艘，使及期飛渡？
HCH_012_223_000357	贊東星浚賈魯河故道，益治汶、泗間泉數百。
HCH_012_223_000358	尋源竟委，著《泉河史》上之。
HCH_012_223_000359	瓚治泉，一夫浚一泉，各有分地，省其勤惰而賞罰之。
HCH_012_223_000360	冬則養其餘力，不征於官。
HCH_012_223_000361	以疏浚運道有功，增秩一等。
HCH_012_223_000362	二十七年督修琉璃河橋。
HCH_012_223_000363	三年橋成，省費七萬有奇。
HCH_012_223_000364	累官江西左參政。
HCH_012_223_000365	予告歸，久之卒。
HCH_012_223_000366	徐貞明，字孺東，貴溪人。
HCH_012_223_000367	父九思，見《循吏傳》。
HCH_012_223_000368	貞明舉隆慶五年進士。
HCH_012_223_000369	知浙江山陰縣，敏而有惠。
HCH_012_223_000370	萬歷三年，征為工科給事中。
HCH_012_223_000371	會御史傅應禎獲罪，貞明入獄調護，坐貶太平府知事。
HCH_012_223_000372	十三年，累遷尚寶司丞。
HCH_012_223_000373	初，貞明為給事中，上水利、軍班二議，謂：神京雄據上遊，兵食宜取之畿甸，今皆仰給東南。
HCH_012_223_000374	豈西北古稱富強地，不足以實廩而練卒乎？
HCH_012_223_000375	夫賦稅所出，括民脂膏，而軍船夫役之費，常以數石致一石，東南之力竭矣。
HCH_012_223_000376	又河流多變，運道多梗，竊有隱憂。
HCH_012_223_000377	聞陜西、河南故渠廢堰，在在有之；山東諸泉，引之率可成田；而畿輔諸郡，或支河所經，或澗泉自出，皆足以資灌溉。
HCH_012_223_000378	北人未習水利，惟苦水害，不知水害未除，正由水利未興也。
HCH_012_223_000379	蓋水聚之則為害，散之則為利。
HCH_012_223_000380	今順天、真定、河間諸郡，桑麻之區，半為沮洳，由上流十五河之水惟泄於貓兒一灣，欲其不泛濫而壅塞，勢不能也。
HCH_012_223_000381	今誠於上流疏渠浚溝，引之灌田，以殺水勢，下流多開支河，以泄橫流，其澱之最下者，留以瀦水，稍高者，皆如南人築圩之制，則水利興，水患亦除矣。
HCH_012_223_000382	至於永平、灤州抵滄州、慶雲，地皆萑葦，土實膏腴。
HCH_012_223_000383	元虞集欲於京東濱海地築塘捍水以成稻田。
HCH_012_223_000384	若仿集意，招徠南人，俾之耕藝，北起遼海，南濱青齊，皆良田也。
HCH_012_223_000385	宜特簡憲臣，假以事權，毋阻浮議，需以歲月，不取近功。
HCH_012_223_000386	或撫窮民而給其牛種，或任富室而緩其征科，或選擇健卒分建屯營，或招徠南人許其占籍。
HCH_012_223_000387	俟有成績，次及河南、山東、陜西。
HCH_012_223_000388	庶東南轉漕可減，西北儲蓄常充，國計永無絀矣。
HCH_012_223_000389	東南民素柔脆，莫任遠戍。
HCH_012_223_000390	今數千里勾軍，離其骨肉。
HCH_012_223_000391	而軍壯出於戶丁，幫解出於裏甲，每軍不下百金。
HCH_012_223_000392	而軍非土著，誌不久安，輒賂衛官求歸。
HCH_012_223_000393	衛官利其賂，且可以冒餉也，因而縱之。
HCH_012_223_000394	是困東南之民，而實無補於軍政也。
HCH_012_223_000395	宜仿匠班例，軍戶應出軍者，歲征其錢，而召募土著以足之便。
HCH_012_223_000396	事皆下所司。
HCH_012_223_000397	兵部尚書譚綸言勾軍之制不可廢。
HCH_012_223_000398	工部尚書郭朝賓則以水田勞民，請俟異日。
HCH_012_223_000399	事遂寢。
HCH_012_223_000400	及貞明被謫，至潞河，終以前議可行，乃著《潞水客談》以畢其說。
HCH_012_223_000401	其略曰：西北之地，旱則赤地千里，潦則洪流萬頃，惟雨旸時若，庶樂歲無饑，此可常恃哉？
HCH_012_223_000402	惟水利興而後旱潦有備，利一。
HCH_012_223_000403	中人治生，必有常稔之田，以國家之全盛，獨待哺於東南，豈計之得哉？
HCH_012_223_000404	水利興則余糧棲畝皆倉庾之積，利二。
HCH_012_223_000405	東南轉輸，其費數倍。
HCH_012_223_000406	若西北有一石之入，則東南省數石之輸，久則蠲租之詔可下，東南民力庶幾稍蘇，利三。
HCH_012_223_000407	西北無溝洫，故河水橫流，而民居多沒。
HCH_012_223_000408	修復水田，則可分河流，殺水患，利四。
HCH_012_223_000409	西北地平曠，寇騎得以長驅。
HCH_012_223_000410	若溝洫盡舉，則田野皆金湯，利五。
HCH_012_223_000411	遊民輕去鄉土，易於為亂。
HCH_012_223_000412	水利興則業農者依田裏，而遊民有所歸，利六。
HCH_012_223_000413	招南人以耕西北之田，則民均而田亦均，利七。
HCH_012_223_000414	東南多漏役之民，西北罹重徭之苦，以南賦繁而役減，北賦省而徭重也。
HCH_012_223_000415	使田墾而民聚，則賦增而北徭可減，利八。
HCH_012_223_000416	沿邊諸鎮有積貯，轉輸不煩，利九。
HCH_012_223_000417	天下浮戶依富家為佃客者何限，募之為農而簡之為兵，屯政無不舉矣，利十。
HCH_012_223_000418	塞上之卒，土著者少。
HCH_012_223_000419	屯政舉則兵自足，可以省遠募之費，蘇班戍之勞，停攝勾之苦，利十一。
HCH_012_223_000420	宗祿浩繁，勢將難繼。
HCH_012_223_000421	今自中尉以下，量祿之田，使自食其土，為長子孫計，則宗祿可減，利十二。
HCH_012_223_000422	修復水利，則仿古井田，可限民名田。
HCH_012_223_000423	而自昔養民之政漸可舉行，利十三。
HCH_012_223_000424	民與地均，可仿古比閭族黨之制，而教化漸興，風俗自美，利十四也。
HCH_012_223_000425	譚綸見而美之曰：「我歷塞上久，知其必可行也。」
HCH_012_223_000426	已而順天巡撫張國彥、副使顧養謙行之薊州、永平、豐潤、玉田，皆有效。
HCH_012_223_000427	及是貞明還朝，御史蘇瓚、徐待力言其說可行，而給事中王敬民又特疏論薦，帝乃進貞明少卿，賜之敕，令往會撫按諸臣勘議。
HCH_012_223_000428	時瓚方奉命巡關，復獻議曰：「治水與墾田相濟，未有水不治而田可墾者。畿輔為患之水莫如盧溝、滹沱二河。盧溝發源於桑乾，滹沱發源於泰戲，源遠流長。又合深、易、濡、泡、沙、滋諸水，散入各澱，而泉渠溪港悉註其中。以故高橋、白洋諸澱，大者廣圍一二百里，小亦四五十里。每當夏秋淫潦，膏腴變為瀉鹵，菽麥化為萑葦，甚可惜也。今治水之策有三：浚河以決水之壅，疏渠以殺澱之勢，撤曲防以均民之利而已。」
HCH_012_223_000429	帝並下貞明。
HCH_012_223_000430	貞明乃躬歷京東州縣，相原隰，度土宜，周覽水泉分合，條列事宜以上。
HCH_012_223_000431	戶部尚書畢鏘等力贊之，因采貞明疏，議為六事：請郡縣有司以墾田勤惰為殿最，聽貞明舉劾；地宜稻者以漸勸率，宜黍宜粟者如故，不遽責其成；召募南人，給衣食農具，俾以一教十；能墾田百畝以上，即為世業，子弟得寄籍入學，其卓有明效者，仿古孝弟力田科，量授鄉遂都鄙之長；墾荒無力者，貸以谷，秋成還官，旱潦則免；郡縣民壯，役止三月，使疏河芟草，而墾田則募專工。
HCH_012_223_000432	帝悉從之。
HCH_012_223_000433	其年九月，遂命貞明兼監察御史領墾田使，有司撓者劾治。
HCH_012_223_000434	貞明先詣永平，募南人為倡。
HCH_012_223_000435	至明年二月，已墾至三萬九千餘畝。
HCH_012_223_000436	又遍歷諸河，窮源竟委，將大行疏浚。
HCH_012_223_000437	而奄人、勛戚之占閑田為業者，恐水田興而己失其利也，爭言不便，為蜚語聞於帝。
HCH_012_223_000438	帝惑之。
HCH_012_223_000439	三月，閣臣申時行等以風霾陳時政，力言其利。
HCH_012_223_000440	帝意終不釋。
HCH_012_223_000441	御史王之棟，畿輔人也，遂言水田必不可行，且陳開滹沱不便者十二。
HCH_012_223_000442	帝乃召見時行等，諭令停役。
HCH_012_223_000443	時行等請罷開河，專事墾田。
HCH_012_223_000444	已，工部議之棟疏，亦如閣臣言。
HCH_012_223_000445	帝卒罷之，而欲追罪建議者，用閣臣言而止。
HCH_012_223_000446	貞明乃還故官。
HCH_012_223_000447	尋乞假歸。
HCH_012_223_000448	十八年卒。
HCH_012_223_000449	貞明識敏才練，慨然有經世誌。
HCH_012_223_000450	京東水田實百世利，事初興而即為浮議所撓，論者惜之。
HCH_012_223_000451	初議時，吳人伍袁萃謂貞明曰：「民可使由，不可使知。君所言，得無太盡耶？」
HCH_012_223_000452	貞明問故。
HCH_012_223_000453	袁萃曰：「北人懼東南漕儲派於西北，煩言必起矣。」
HCH_012_223_000454	貞明默然。
HCH_012_223_000455	已而之棟竟劾奏如袁萃言。
HCH_012_223_000456	袁萃，字聖起，吳縣人。
HCH_012_223_000457	舉萬歷五年會試。
HCH_012_223_000458	又三年釋褐，授貴溪知縣。
HCH_012_223_000459	擢兵部主事，進員外郎，署職方事。
HCH_012_223_000460	李成梁子如楨求為錦衣大帥，袁萃力爭，寢之。
HCH_012_223_000461	出為浙江提學僉事。
HCH_012_223_000462	巡撫牒數十人寄學，立卻還之。
HCH_012_223_000463	歷廣東海北道副使。
HCH_012_223_000464	中官李敬轄珠池，其參隨擅殺人，袁萃捕論如法。
HCH_012_223_000465	請告歸。
HCH_012_223_000466	所撰《林居漫錄》、《彈園雜志》多貶斥當世公卿大夫，而於李三才、於玉立尤甚雲。
HCH_012_223_000467	贊曰：事功之難立也，始則群疑朋興，繼而忌口交鑠，此勞臣任事者所為腐心也。
HCH_012_223_000468	盛應期諸人治漕營田，所規畫為軍國久遠大計，其奏效或在數十年後。
HCH_012_223_000469	而當其時浮議滋起，或以輟役，或以罷官，久之乃食其利而思其功。
HCH_012_223_000470	故曰：「可與樂成，難與慮始。」
HCH_012_223_000471	信夫！
